[2022-03-10 21:34:24] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:34:29] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:34:30] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:34:30] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:35:02] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:35:07] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:35:18] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:35:24] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:44:01] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:44:11] Текст ошибки: Контроллер app\controllers\CategoryController не найден | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Router.php | Строка: 36
[2022-03-10 21:56:19] Текст ошибки: Нет соединения с базой данных | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Database.php | Строка: 14
[2022-03-10 21:56:25] Текст ошибки: Нет соединения с базой данных | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Database.php | Строка: 14
[2022-03-10 21:56:31] Текст ошибки: Нет соединения с базой данных | Файл: D:\OpenServer\domains\luxurywatches\vendor\ishop\core\Database.php | Строка: 14
